iter	Passed	Remaining
0	1	156
1	2	139
2	4	133
3	5	122
4	6	124
5	7	123
6	9	124
7	10	125
8	12	124
9	13	121
10	14	120
11	16	120
12	17	117
13	18	114
14	20	113
15	21	111
16	22	109
17	24	110
18	25	108
19	26	106
20	27	103
21	28	101
22	29	100
23	31	98
24	32	97
25	33	96
26	35	94
27	36	93
28	38	93
29	39	92
30	40	90
31	42	89
32	43	88
33	44	86
34	46	85
35	47	84
36	48	82
37	49	81
38	51	79
39	52	79
40	54	78
41	54	75
42	56	74
43	57	72
44	58	71
45	59	69
46	60	68
47	62	67
48	63	65
49	64	64
50	65	63
51	68	62
52	69	61
53	70	60
54	71	58
55	72	57
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	35
73	96	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	116	12
90	118	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	125	3
97	126	2
98	128	1
99	129	0
